session_id,n_utterances,total_duration_sec,n_children
S_04a4e2ecd37e93cf,86,165.749,1
S_c624888ff9d3d4bf,86,433.336,1
S_4be96c17917a007a,85,99.409,1
S_709d7692da0e49ca,84,154.513,1
S_4dfaeba2cccad34d,84,141.789,1
S_7ab49af43d0f25dc,83,551.942,1
S_badabca6b33fe5e4,83,484.122,1
S_134edaa467a6e1d1,83,532.901,1
S_226c4704be0a16ba,83,90.634,1
S_950797b197ee3ba5,83,134.747,1
S_d329b358301a2ca9,83,573.596,1
S_2a18b092c730e64a,82,254.598,1
S_e47dff434094895e,82,741.539,1
S_8a4eff42f0dedd53,82,400.296,1
S_33e7acc0aefe1f5d,82,373.886,1
S_3461eaf1eaf2dc9f,81,168.21699999999998,1
S_7026c0c5e0a4dcc4,81,102.543,1
S_95963c61f9b27b6e,81,419.781,1
S_d8869cc3b626d744,81,369.146,1
S_9703f4d209428397,81,81.212,1
S_c4c8be8561e4040b,81,499.63100000000003,1
S_950865d1807dff3a,80,481.238,1
S_d73664828017f240,79,132.807,1
S_2b3ea2e49567e70c,79,446.911,1
S_be574618b60b292b,78,98.166,1
S_b7819ed6754f7d06,78,399.739,1
S_d73d5c6646e9aa76,78,143.582,1
S_d6a1a15965d95018,78,412.295,1
S_845e47e061d042c9,77,120.124,1
S_75d2ff959cfd0709,77,143.946,1
S_11607c82560cad70,77,466.347,1
S_a37a4cc8c149054f,76,465.55,1
S_73c328f580c8c22e,76,172.586,1
S_a78540070bf93818,76,494.871,1
S_c5cc2758290544da,76,447.603,1
S_8e505c1faffb4955,76,469.74,1
S_4e2c6b1a8fa199ce,75,426.844,1
S_ed5b2b7e293714cb,75,353.237,1
S_3f245e64265c5bd2,75,119.37,1
S_83be7039e752d6b2,75,470.683,1
S_0cc39c6677c39b68,75,692.713,1
S_a2b1cea481f79cf1,75,310.834,1
S_74650a8c7720eb79,74,107.604,1
S_373332a0b92d5cbf,74,321.49,1
S_99b7f367a2430f9d,74,261.984,1
S_d912756e9d1fe314,73,430.517,1
S_9d4e76e4b041b0c6,73,514.724,1
S_0a6db16db1d500e2,73,501.896,1
S_27f57673642be250,73,567.598,1
S_0c38d331e76b412e,73,284.936,1
S_176f55a5ab952d47,73,259.049,1
S_e9fb6a4732efb21b,72,502.878,1
S_59cba742472a2ede,72,304.117,1
S_8c77fcd993234f0b,72,147.001,1
S_f722dd7fba4f9302,71,155.623,1
S_3c71ca03578c4235,71,561.963,1
S_91f86935c8ce66ac,71,81.497,1
S_ada643d8bc982427,71,708.978,1
S_417a460bb0e5539d,71,352.924,1
S_5de39fcb91df3251,71,85.399,1
S_6ff763fea121d910,71,271.501,1
S_22e10e1eacf4ee83,71,521.895,1
S_540943fdc3797ef1,70,447.026,1
S_f0ac68e92d9ed115,70,620.319,1
S_37169b1069c704f2,70,439.482,1
S_52f4ab0746a212df,70,175.877,1
S_937771df3e1dae6a,69,413.289,1
S_590354cb0de0b9d1,69,394.327,1
S_81c1021165b8520b,69,431.161,1
S_f3a9473f72c47582,69,362.872,1
S_f776abcd6dff6fe0,69,459.03000000000003,1
S_ffaa8215ef871c76,69,126.93599999999999,1
S_07d9c08f49dc95f0,69,389.116,1
S_fafc9ff6ba7b6179,69,380.537,1
S_bfbd742379f222d1,68,672.151,1
S_179057c3c3ccdecf,68,666.802,1
S_27b1da5cbc199b95,68,496.492,1
S_258ae8b64ce581a1,67,355.11899999999997,1
S_5aba815cb3c75836,67,377.761,1
S_77b3968dc9ab49e9,67,215.698,1
S_f018ecad0fb6b26c,67,98.156,1
S_84924b88d37bd733,67,147.42,1
S_7c8c2b1fc8c9f5d2,66,135.534,1
S_7afb7e692528992a,66,510.904,1
S_b22ffdedc25ecc9a,66,463.028,1
S_80328065fa917c81,66,565.208,1
S_52d7dec853fbb041,66,720.948,1
S_4b504438c513d95f,66,516.916,1
S_d62af0f94f80f9e1,66,318.491,1
S_9f91f11c38b0a0c1,66,291.76,1
S_81d09e79a18baf94,66,254.199,1
S_1859e957ff26f51b,66,571.453,1
S_ca06a66b10bf03c6,65,504.928,1
S_88f2d429ebfcc63b,65,397.115,1
S_35d6a0bb07c2414b,65,74.992,1
S_3f887a701cfa4ccd,65,377.276,1
S_5509c0f3fa953d78,65,78.378,1
S_6fafb0347be1698c,65,235.91,1
S_5126a0328510e175,65,289.418,1
S_74923dd9d093e773,64,227.209,1
S_ec4ee326027773e8,64,257.336,1
S_7f55320d582e748d,64,166.207,1
S_015ec58a20077b63,64,295.83,1
S_a69a1d5d1952bf8e,64,258.103,1
S_0a7e2aef687ca75b,63,294.481,1
S_e5ffccd72d02f846,63,368.386,1
S_80c5357ec852f45e,63,112.63,1
S_a18dd3f88ad1d671,63,385.766,1
S_cb36bedf75c1d391,63,122.397,1
S_233d0a657879c1e4,63,462.148,1
S_21cd39d057f05bba,63,888.632,1
S_62aa4905ab995dfb,63,421.923,1
S_45cc9c40c9884ad0,63,289.847,1
S_79d6000c94971e38,63,321.25600000000003,1
S_b11c1097dd6d6239,63,388.543,1
S_f8675f4a8b1082bd,63,863.933,1
S_b65627d2c6c46859,63,229.736,1
S_5cf43b6ab8d775fc,62,527.289,1
S_c1228e6a89774f3d,62,94.962,1
S_2e1ef3aff7aed9cc,62,149.761,1
S_50a059d0cd994b58,62,338.838,1
S_16d78b7e1a6856c8,62,552.221,1
S_85da012b670222ba,62,327.323,1
S_c727fb5006dfb7ed,62,114.442,1
S_4bbfdc1e47c4fe5a,62,370.594,1
S_a0b6828ee85576bf,61,455.895,1
S_56a849c4d4dbce64,61,150.436,1
S_72bfac3d7ccfc960,61,76.731,1
S_d5bb87f155020ffc,61,331.485,1
S_ae9b94c04fbc684c,61,453.277,1
S_ff770149a5ad84ff,61,103.059,1
S_a4e4c985d5043a8b,61,94.649,1
S_a7db50962feed0f2,61,668.09,1
S_0612588b72e1343d,61,272.65,1
S_b6e0bde5aab3cbfb,61,699.813,1
S_89a76120b858a300,61,408.838,1
S_e30bb3ded5e6c5f1,61,481.409,1
S_1245d85f0587eff4,61,391.533,1
S_4e30386d61665f4a,61,597.28,1
S_a0f06cad1331299d,61,651.656,1
S_1bad0ba9c118dcea,60,281.878,1
S_b597592645aead57,60,837.049,1
S_a213dd872f83c11b,60,755.076,1
S_2ad6c3483e46e443,60,547.03,1
S_bc1fee8626bf8d13,60,238.943,1
S_be8e647f627866dc,60,399.708,1
S_314f2cccd0d44991,60,205.534,1
S_d8590f1b1200e00c,60,491.999,1
S_74a4e224a9c66b3f,60,428.95,1
S_96f0b22d34d16bec,60,525.332,1
S_e20990ec790ce33e,60,118.971,1
S_f0a2af3ed930626d,60,374.443,1
S_2f5d52fde70524eb,60,83.648,1
S_da9043c21bb7f0e6,60,333.078,1
S_924b20f05def39be,60,380.434,1
S_b5e75034035d7912,59,315.40000000000003,1
S_7b95e46d9061084e,59,682.4689999999999,1
S_44e3e476039a886f,59,576.557,1
S_c740e0b77a437d91,59,393.731,1
S_a0bece4e0e3dabe5,59,611.003,1
S_e5ddc1037989de38,59,368.12,1
S_3184044e91a1f3c7,59,216.49699999999999,1
S_f33fb6e8b38b4df9,59,119.829,1
S_1cd16df5ceee3275,59,368.087,1
S_ee0086c9220421f4,58,386.53000000000003,1
S_1ad840d5d60bea57,58,235.886,1
S_2342445e089fede3,58,254.642,1
S_aa8e13491869b866,58,375.305,1
S_0c3f06e326f7a262,58,531.158,1
S_2b380b734f97cda9,58,280.41,1
S_510b346a9a84601a,58,469.08500000000004,1
S_2929f6e609d71811,58,456.50600000000003,1
S_134975e269ea7a70,58,83.86,1
S_7b0c2fa21f622c0f,58,545.214,1
S_70eb8279a41438ce,58,265.096,1
S_742559ae61038227,57,351.036,1
S_0604f690dfc46f93,57,118.856,1
S_f93416038241c206,57,509.495,1
S_ab808d2c9fcd37c8,57,616.601,1
S_5933c46726ab6c5f,57,127.383,1
S_a0c6484634553d5b,57,577.707,1
S_968b911ea2382882,57,100.669,1
S_030f528771adae0e,57,255.456,1
S_e9d2a3cfd20ca334,57,555.916,1
S_6280874f3c61e495,57,563.922,1
S_21d54079fef56d3e,57,241.135,1
S_c4ac01085c754bbd,57,96.115,1
S_609b18be0584b252,57,551.318,1
S_109fcc9851a8be86,56,194.769,1
S_6ba05879d7452708,56,294.553,1
S_ce97cc49ed34e9b7,56,290.695,1
S_b923ac1ce67b7e9e,56,220.771,1
S_09b6ed0ffd089dc6,56,283.599,1
S_9d61616be1245263,56,377.572,1
S_0e5d62abf30354cc,56,395.155,1
S_5f3fc6304c6b5130,56,230.035,1
S_22704d7d3ff07ce9,56,204.249,1
S_2f6e9e4f761e5b70,56,446.277,1
S_0baa3984d5f96c27,56,459.437,1
S_eee0f0abc0ac15f4,56,252.028,1
S_670f6acd4c38d675,56,390.848,1
S_74c8843133294a73,55,351.866,1
S_a9c073e785381f7c,55,510.627,1
S_9429d03187289f91,55,681.068,1
S_e0f020eb9d235934,55,73.29599999999999,1
S_f05f03693ceb20e6,55,283.99399999999997,1
S_9404d6669f970f9f,55,365.371,1
S_650023258a0017eb,55,410.738,1
S_b48cc0d89adcd5ac,55,100.126,1
S_ffc651ab1dce6b00,55,308.774,1
S_789a3060b2ad0539,54,541.253,1
S_5660b44b1eff42ec,54,437.93,1
S_1db1889411754bc2,54,317.53000000000003,1
S_f98b3b5a4844dfc2,54,611.451,1
S_b1924702ad6dfb52,54,105.455,1
S_09d91a8d5482e4b7,54,288.774,1
S_18ea10492feabb5c,54,346.946,1
S_871e3f1c4470f6e9,54,298.676,1
S_0d24195b355af982,54,307.641,1
S_60498947f377cc86,54,280.085,1
S_ce925c663db58ab8,54,296.74,1
S_2d476e8e469f604d,54,290.028,1
S_2d5fc8678293d717,54,311.228,1
S_c6c2e829430f46a2,54,322.31,1
S_4533dcba3b9588b5,54,506.121,1
S_fe8e49f46ab194b2,54,306.491,1
S_fe3e16dedfd6bf75,54,118.269,1
S_e0a6682cb21e1959,53,500.4,1
S_866ad913f0ef55a6,53,369.77299999999997,1
S_a7e835d1da9daa8a,53,351.195,1
S_7ff791407a3baf68,53,223.475,1
S_aec363f029f4c2f2,53,86.206,1
S_eb389f26ad049e32,53,445.54,1
S_c0220d056d212579,53,582.731,1
S_76ceac167c80a822,53,424.332,1
S_3b7a46d0ef53013e,53,317.08,1
S_8edd5ed54a954e8f,52,457.46500000000003,1
S_abd886a4673bf26f,52,109.392,1
S_43402d5239dd4f88,52,246.987,1
S_4694557a26b5947a,52,476.336,1
S_d724c1a540ed31ae,52,71.994,1
S_2818eb382c1f8eb8,51,580.319,1
S_45fede2a9169d066,51,306.543,1
S_e55e4d12ee5cb330,51,502.647,1
S_536ea39ebfbf9364,51,198.316,1
S_c3e634c3e83396e9,51,340.032,1
S_5101e204aad40305,51,249.685,1
S_5e7128ad652b1212,51,245.285,1
S_927d42b099986db6,51,1058.929,1
S_34f40a01fbb7233c,51,406.73900000000003,1
S_ec7138a74cb9933b,51,330.979,1
S_90b2b611d0d3e497,51,700.115,1
S_3bedf88dbbfe8cd3,51,274.155,1
S_2068fc8e346915d4,51,120.78,1
S_08f175362f57bc17,51,262.616,1
S_336cb677a2b04361,50,435.342,1
S_03099f7f8c38d09e,50,421.949,1
S_a3d600e988b45ac2,50,480.613,1
S_26240cd764c43c73,50,85.812,1
S_7ad408c81d5a5811,50,603.631,1
S_d70d91b57ebcc12c,50,150.337,1
S_7a28b0f0519f9aec,50,405.512,1
S_031053a1d703b898,50,284.819,1
S_cbf0a7b745eab616,50,644.786,1
S_e4c453221d8c6426,50,508.047,1
S_16524657639c48a4,50,519.38,1
S_df19a9708ca7d467,50,82.522,1
S_c4b7bb89bb2554a9,50,469.664,1
S_c3cfbe69da3a6179,50,319.784,1
S_ce652b90377c7f0f,50,216.246,1
S_195d8589a2a82111,50,297.481,1
S_cae356b4d71874b2,50,268.421,1
S_86b48ec1fbc0742f,50,551.19,1
S_90b7d5460120b876,49,413.812,1
S_364c847e5de4c1e5,49,278.963,1
S_1f51739554ec60cc,49,302.265,1
S_37ecca9c18192b08,49,330.972,1
S_e416f21cdc4a24d4,49,486.309,1
S_a0666cd5edb6e575,49,167.536,1
S_eb42e7a184dfa0a1,49,399.08,1
S_8b9ee59c1c83922d,49,320.621,1
S_ec4968ed3eab2468,49,414.722,1
S_0303e41bc5f5ccba,49,293.506,1
S_0210ee2a5bc7c9e9,49,464.169,1
S_51bd6ccadb025ea9,49,362.572,1
S_515945aada4a82d1,49,101.002,1
S_7289e2dbed59de52,49,222.064,1
S_dde78449a64864d0,49,376.923,1
S_2167acd9e93fa279,48,369.556,1
S_8f390b6d99ba2ce2,48,214.209,1
S_9fdff29e4728c6cd,48,294.003,1
S_e7ff47ad98dffd0c,48,819.585,1
S_b539b9d52632d4d0,48,274.271,1
S_5a7ebc4c93bc5c05,48,317.219,1
S_c905feaf8a287ed0,48,213.308,1
S_e2c51a9bcd5fb5c8,48,300.746,1
S_bd3e885eb57850c8,48,405.341,1
S_f0ecfc8abcb0ec1b,48,376.185,1
S_544f4537cb78d1d0,48,256.555,1
S_ac029a5fa662ef6f,48,420.47,1
S_f425721f3d264ab4,48,516.289,1
S_c15571dcaef5fb2d,48,62.656,1
S_8eda6af286ae73c2,48,287.677,1
S_e7cbacafd7498569,48,268.151,1
S_898a7fa6258cee04,48,113.746,1
S_c43b7c2ddc364c88,48,225.969,1
S_8693600d178be333,48,363.548,1
S_367da44a21a1aa73,47,739.503,1
S_da0d0a54121e7bbe,47,316.25,1
S_b8776bd9d1f73fcf,47,304.639,1
S_81258de0080ddf01,47,388.254,1
S_e501ac8b0115f6c2,47,105.62,1
S_51404abb59ff3665,47,517.1850000000001,1
S_dbe584bda1e21e8d,47,286.999,1
S_c24e5bafd82bd7ec,47,218.238,1
S_bde368560d647502,47,412.075,1
S_d026276fcf9de17b,47,233.24099999999999,1
S_ab662fe4950cb739,47,326.002,1
S_53fd6b30d998cf6b,47,218.45,1
S_af00efb6a360fde9,47,256.01099999999997,1
S_300ba2f0cc1a186d,47,428.135,1
S_c1b52f34ed7b0bcf,47,352.133,1
S_bf0090773a7aa982,47,116.4,1
S_00244337b9d50090,47,324.54,1
S_980ba9db0a3b0d96,47,444.796,1
S_d9491bc890c4e5bb,47,124.872,1
S_6f87023faf88357e,46,78.833,1
S_4173295c588fe60d,46,268.92,1
S_2065ff091f3d59ee,46,391.051,1
S_94d0d83524268d86,46,307.387,1
S_4dec39e98143e240,46,314.519,1
S_f6c6c337c7381621,46,463.841,1
S_cc8ed88219f36230,46,265.252,1
S_744b1e27d3a69b0b,46,310.112,1
S_d983fd6b3f70db87,46,350.662,1
S_fe13abec9ac00e1e,46,139.049,1
S_38de6d6865b6ccac,46,329.554,1
S_c8627e1471c82545,46,67.245,1
S_6321902b301872b6,46,453.45,1
S_058a71c1cb6cb4ec,46,526.881,1
S_c320e65f59df1267,46,290.583,1
S_a0d7c2c57d162506,46,390.566,1
S_2f278ff3e8c5c615,46,441.908,1
S_84bfd5f8ed4ebc03,46,542.188,1
S_507dee94bd4ead8f,46,298.44,1
S_a3dd7bfda47ddc78,46,329.973,1
S_6acefa85e207ce27,46,177.769,1
S_3deb16f4c75321b6,46,453.986,1
S_12b928a9110a7975,46,477.401,1
S_8d90921664b3aea6,46,115.043,1
S_119f4981ba8a1d0b,46,146.601,1
S_5a143f2209cfe639,45,486.095,1
S_7dc7341d71835d08,45,246.053,1
S_d959b63dde90d859,45,415.63,1
S_2a1bb5f497d376b3,45,263.849,1
S_944a151742de87b4,45,367.407,1
S_f61402f9e48e38b9,45,439.53700000000003,1
S_a4471bee2ad8f4c0,45,111.57300000000001,1
S_57d75de07d4418d9,45,355.976,1
S_fad088d73b015ead,45,324.299,1
S_f93bf01383d45c54,45,532.754,1
S_8c4d1ef1fa71ad48,45,143.052,1
S_d0b25e579fcd6e48,45,288.499,1
S_cfc07f8df95654de,45,193.516,1
S_4b54ddcf0a03d2ad,45,452.6,1
S_8076f039d3c1be3a,45,543.985,1
S_6eb484e6cdc8fbcd,45,266.17,1
S_cc119fe2d535cb41,45,356.019,1
S_90f621efaaeb14fc,45,461.477,1
S_0b0d05ed97406c42,44,381.29699999999997,1
S_5bac33909d02d233,44,310.32,1
S_89e73441974385fd,44,177.952,1
S_989c9ba418abac97,44,201.379,1
S_3c5a49529b4255e4,44,273.327,1
S_936a24340a5ed1e5,44,151.378,1
S_2d8dac0d1532a425,44,373.098,1
S_bd47b354b55037ff,44,302.666,1
S_a389e93fa7985a0e,44,166.322,1
S_c443e59d01acbffa,44,433.677,1
S_96ea1d2829e0029e,44,471.631,1
S_0d922b930244565a,44,95.17999999999999,1
S_4790918571d6d867,44,209.927,1
S_96776e01969c1fcb,44,240.911,1
S_f09cad0d030f50ab,44,419.7,1
S_8f354164bd9e60ac,44,115.496,1
S_7fa89bfe6395a38a,44,243.211,1
S_f697e3191aa6a7f2,44,613.983,1
S_95985bb1f2192e46,44,625.916,1
S_9d885c543f2d5725,43,450.8,1
S_c029a3d3b33836a5,43,270.182,1
S_416254e6cd04475a,43,399.189,1
S_c126ff3f25500ea5,43,268.246,1
S_b498336f967120b0,43,163.098,1
S_8e59d75c3cfb1517,43,405.394,1
S_9ca08ef6bdc59757,43,646.842,1
S_dca3ac5a23785178,43,263.811,1
S_b2eeb4470a1293d8,43,181.264,1
S_599e56be55ea31e6,43,317.014,1
S_b86aa8b2d5eec8c7,43,226.918,1
S_6f69cfcbe18ac035,43,364.274,1
S_778d0c5778b1b731,43,221.692,1
S_657562905962825b,43,340.894,1
S_54b56295eb36982b,43,247.756,1
S_2c608a8b363055e8,43,339.235,1
S_cfdecdb4427160bb,43,347.032,1
S_1b7ad1097d38f5df,43,260.995,1
S_c6937c8d9d7f88b8,43,269.337,1
S_91085aaad125a3b2,43,311.58,1
S_1520a43662f892f8,43,348.34000000000003,1
S_4c3f5ba0c5e4eeed,43,279.61,1
S_aa32a9b26d144f80,43,299.644,1
S_16182c79d6a7f8bf,43,178.594,1
S_937c2d033e9dee2f,43,363.046,1
S_3a134a971c7086aa,43,449.734,1
S_3b578ffaff2cc515,43,342.033,1
S_b7a6eff5e94a5a88,43,316.884,1
S_3c235fdbe7deabb0,43,217.746,1
S_bb262bb1d4d5b68a,42,493.239,1
S_5a4cf99a97578638,42,195.901,1
S_9958dd336787b017,42,178.925,1
S_5acf402e1a4bfa42,42,492.998,1
S_5d6038b6910dd358,42,430.94,1
S_df9458617fa162c7,42,422.25,1
S_c5b80060ad8a40cc,42,429.932,1
S_4a0f3fee8e23aa94,42,472.2,1
S_fa0c24c93f8899e9,42,409.18,1
S_ef177d7571016aed,42,403.021,1
S_caecbccdecea3364,42,392.19599999999997,1
S_2a8d9506aa9cc06d,42,257.614,1
S_28b69cc8dd39f6c7,42,235.679,1
S_669c44a9aa85e960,42,400.369,1
S_1dd6cb1e5d725379,42,393.221,1
S_099029ef167c969d,42,239.832,1
S_0324fb08e0e74f93,42,384.157,1
S_ecff07da2e82a02a,42,331.801,1
S_ba6b159a9eee5e09,42,312.091,1
S_fe57fa6e0edbafa3,42,531.179,1
S_5cd38455a1a55b21,42,501.957,1
S_23207d5da358691b,42,194.972,1
S_ac8b01d8b3db5c82,42,234.283,1
S_def801959b80c19f,42,309.86899999999997,1
S_1036501ba595fe1f,42,679.88,1
S_7cb147a26d6e1da1,42,49.505,1
S_140efd9e2f66d513,42,130.626,1
S_3757a55e44aeec7d,41,284.822,1
S_0c565ee7c14ef0c8,41,246.091,1
S_de7f08e0c6bfaba3,41,51.929,1
S_d43107aa2ce31e37,41,292.083,1
S_56dc622c3f97a8a9,41,383.384,1
S_230790598eac14c2,41,262.291,1
S_db96af106bffe4f4,41,350.449,1
S_bcfd7e19af0e87fb,41,162.874,1
S_fe909c6dc52936ef,41,176.654,1
S_d0aa9856f8cea316,41,214.292,1
S_815725d5089332ea,41,325.452,1
S_956edcf8f7bc6cf1,41,269.595,1
S_60069cbbfa6c234b,41,346.964,1
S_953fa0537be08a10,41,302.229,1
S_cdd80661f47e744f,41,170.30700000000002,1
S_05e24e27d41ba3de,41,301.65999999999997,1
S_17fc9f85ab3dba6c,41,264.027,1
S_e1ac5552321ed3b9,41,461.287,1
S_0233f6d5dd8033e4,41,178.689,1
S_3f4233fcac2a2d69,41,380.104,1
S_8d1728cd6e6005d8,41,377.956,1
S_fafcd9601e5a90d7,40,317.097,1
S_39c8ae675dbe6bd4,40,273.743,1
S_fefbdd311fb85ce9,40,517.998,1
S_7d3528e347f8f23a,40,318.243,1
S_f0c2a0d3cfd50999,40,267.965,1
S_00d3d0d14634a520,40,262.409,1
S_3c9f90e6bbb11b6a,40,383.3,1
S_f3a123b54b5422a6,40,200.919,1
S_9c7cd9775e2e068c,40,164.457,1
S_5efe448ebc88e1e9,40,231.088,1
S_9f7983b15e899861,40,101.992,1
S_d52429a0cdaae98a,40,226.673,1
S_406096047b20d516,40,340.06,1
S_c700fd35ffca6321,40,345.247,1
S_a1f8c01c7c467ac3,40,228.916,1
S_d03f470e51b2c0c6,40,301.5,1
S_457d2bc1de917ca6,40,317.78000000000003,1
S_955f74786c1d5318,40,256.641,1
S_93ded95ba75c6b1b,40,235.165,1
S_ad3e0501c5e2ce4a,40,462.701,1
S_14b15304b812f155,40,302.376,1
S_4fedb7cc94ce1805,40,871.13,1
S_c77fb77db00b42ac,40,298.086,1
S_f8862222f31b2167,40,322.945,1
S_87440f00849f17af,40,149.754,1
S_8039a18dde69ac25,40,437.752,1
S_93e99e3e8ea424d1,40,364.43399999999997,1
S_a5d700afdea5cda4,40,230.904,1
S_616b8e865cbfd7f4,40,501.843,1
S_553a3fdf062261d3,40,392.86199999999997,1
S_41d6410438b3f27d,40,287.594,1
S_704b72e91ebbd72c,40,419.691,1
S_567e9ba928261eb2,40,318.485,1
S_b235a4a6ebde223c,39,284.298,1
S_b9c817517809595d,39,239.947,1
S_3c09a121a1381ffb,39,55.003,1
S_653e264414bea7e7,39,325.436,1
S_feabb2aaa97df4f9,39,396.468,1
S_6fc6ba82568205f4,39,249.106,1
S_a014b3474d39f146,39,294.65,1
S_6b5495b894022073,39,469.51800000000003,1
S_9d2bdf2ffc80f001,39,62.533,1
S_d67ffa928aaee6cd,39,188.31199999999998,1
S_8de38e5b2f95927e,39,158.725,1
S_34e5240f8159690f,39,421.621,1
S_16b1beccdd99911f,39,290.492,1
S_62dba96e6f78d866,39,278.726,1
S_f76ecd749876961e,39,216.931,1
S_29227e33a81ec7ba,39,176.254,1
S_e2851d4a3c6e9ede,39,273.258,1
S_f62c2a62ad6e858b,39,214.10999999999999,1
S_4f77c8bad8d384ba,39,53.62,1
S_2bb165c19460f5f5,39,333.361,1
S_a7d64eadca7bf6ac,39,395.181,1
S_f86317447fea8a9a,39,139.933,1
S_72a4ae544318c6d8,39,189.881,1
S_430d2c3c4e4ebe5e,39,889.2330000000001,1
S_23b254922ebeb95e,39,343.621,1
S_1ce59ef742878793,39,109.05499999999999,1
S_43acbc896a8b1301,39,163.708,1
S_cfa8c15ca14f2d25,39,166.61599999999999,1
S_d339f50a2e26adb7,39,221.69,1
S_37e74a6da98fa0db,38,338.785,1
S_2f9d54cff7fa98e8,38,298.711,1
S_affa4d4bb35c0974,38,58.092,1
S_a20e8c1f96fb6f72,38,402.247,1
S_ad0cfca075e8d469,38,256.002,1
S_adc5423d8631d0bf,38,194.924,1
S_310d2a524f0b198c,38,253.43,1
S_f5ae5ac144343d41,38,297.542,1
S_4f7c936a56bd73c2,38,399.375,1
S_ca0821e127ea2aa0,38,273.478,1
S_f05bef256bc29fa8,38,357.083,1
S_e481d0465e47dd0c,38,201.787,1
S_07e94c02cda7ce69,38,569.558,1
S_07bc1d8af23d3379,38,49.112,1
S_2c66d2044f95dc8e,38,288.125,1
S_b4ad6d2f00febc73,38,381.508,1
S_c0b7f6ea798ecaec,38,252.226,1
S_fbef407e3b06ac7a,38,328.39799999999997,1
S_141dd0cd75e5bf4d,38,322.939,1
S_8e9e26c7b47376b6,38,293.945,1
S_7c5d6d1ea1db297f,38,259.115,1
S_d21789c4f2957b9b,38,366.772,1
S_f967f16c38f64a1c,38,450.277,1
S_132c8385eb4b6da2,38,163.391,1
S_1356dc5591da922d,38,341.293,1
S_3dba2e2c7f4e5ee1,38,288.525,1
S_57eda70167f5bbe9,38,308.512,1
S_fbd421b1e1f19ea7,38,297.539,1
S_be315a09a058b161,38,519.695,1
S_fba6657058b2109b,38,289.762,1
S_3924e9435ee2e7d7,38,455.73900000000003,1
S_e42799de5f116523,37,152.676,1
S_18363158eacf523b,37,431.895,1
S_1fd9da109b3ca668,37,488.262,1
S_81ff62fcc4f449a0,37,411.489,1
S_352d199d67d70f71,37,117.38,1
S_7ff81aa678d476eb,37,401.082,1
S_c8e812a91a1c4fc0,37,190.987,1
S_6b0239f6bce4064b,37,484.353,1
S_6a93acd0af0d2f27,37,215.14000000000001,1
S_fafec20afec5299a,37,253.369,1
S_21cacff235e3042e,37,475.176,1
S_a931243272cdab1e,37,292.892,1
